Symbol,Date,Open,High,Low,Close,Volume,MarketState
GBPUSD,2012.10.03,1.61289,1.61403,1.60661,1.60791,69049,UNKNOWN
GBPUSD,2012.10.04,1.60790,1.62013,1.60757,1.61927,71369,UNKNOWN
GBPUSD,2012.10.05,1.61930,1.62161,1.61222,1.61341,65191,UNKNOWN
GBPUSD,2012.10.08,1.61362,1.61384,1.60179,1.60200,67423,UNKNOWN
GBPUSD,2012.10.09,1.60207,1.60451,1.59759,1.60017,66887,UNKNOWN
GBPUSD,2012.10.10,1.60019,1.60338,1.59762,1.60007,65478,UNKNOWN
GBPUSD,2012.10.11,1.60009,1.60534,1.59840,1.60467,58379,UNKNOWN
GBPUSD,2012.10.12,1.60466,1.60964,1.60179,1.60673,54753,UNKNOWN
GBPUSD,2012.10.15,1.60769,1.60797,1.60206,1.60716,56330,UNKNOWN
GBPUSD,2012.10.16,1.60717,1.61335,1.60600,1.61178,56816,UNKNOWN
GBPUSD,2012.10.17,1.61177,1.61777,1.61116,1.61386,57812,UNKNOWN
GBPUSD,2012.10.18,1.61387,1.61700,1.60399,1.60473,58363,UNKNOWN
GBPUSD,2012.10.19,1.60472,1.60664,1.59965,1.59993,55300,UNKNOWN
GBPUSD,2012.10.22,1.60064,1.60516,1.59899,1.60121,54246,UNKNOWN
GBPUSD,2012.10.23,1.60122,1.60235,1.59126,1.59509,57045,UNKNOWN
GBPUSD,2012.10.24,1.59510,1.60475,1.59352,1.60360,60415,UNKNOWN
GBPUSD,2012.10.25,1.60361,1.61427,1.60254,1.61186,54874,UNKNOWN
GBPUSD,2012.10.26,1.61188,1.61401,1.60798,1.61027,51913,UNKNOWN
GBPUSD,2012.10.29,1.60845,1.60920,1.60058,1.60321,34431,UNKNOWN
GBPUSD,2012.10.30,1.60319,1.60848,1.60196,1.60830,34456,UNKNOWN
GBPUSD,2012.10.31,1.60828,1.61382,1.60675,1.61314,47240,UNKNOWN
GBPUSD,2012.11.01,1.61311,1.61743,1.61195,1.61306,49527,UNKNOWN
GBPUSD,2012.11.02,1.61306,1.61324,1.60072,1.60208,47554,UNKNOWN
GBPUSD,2012.11.05,1.60196,1.60387,1.59569,1.59786,47178,UNKNOWN
GBPUSD,2012.11.06,1.59786,1.60070,1.59645,1.59928,52767,UNKNOWN
GBPUSD,2012.11.07,1.59927,1.60419,1.59542,1.59810,67801,UNKNOWN
